iter	Passed	Remaining
0	119	59625
1	241	60160
2	345	57261
3	466	57815
4	601	59514
5	721	59378
6	839	59106
7	961	59118
8	1082	59054
9	1199	58799
10	1321	58757
11	1442	58666
12	1562	58518
13	1683	58424
14	1802	58275
15	1939	58676
16	2063	58639
17	2185	58518
18	2304	58345
19	2425	58219
20	2545	58063
21	2664	57900
22	2786	57790
23	2905	57621
24	3023	57447
25	3154	57517
26	3277	57419
27	3396	57262
28	3515	57101
29	3647	57150
30	3771	57059
31	3929	57465
32	4054	57371
33	4176	57235
34	4294	57053
35	4416	56929
36	4535	56756
37	4678	56885
38	4842	57238
39	4966	57114
40	5094	57032
41	5216	56880
42	5337	56724
43	5457	56561
44	5575	56376
45	5697	56234
46	5817	56071
47	5935	55895
48	6063	55807
49	6194	55747
50	6315	55598
51	6451	55584
52	6583	55522
53	6714	55454
54	6836	55314
55	6974	55298
56	7135	55458
57	7277	55456
58	7397	55296
59	7520	55149
60	7651	55062
61	7768	54878
62	7889	54726
63	8012	54584
64	8134	54440
65	8218	54039
66	8347	53946
67	8469	53803
68	8590	53656
69	8752	53766
70	8918	53885
71	9046	53775
72	9171	53649
73	9297	53522
74	9418	53371
75	9538	53214
76	9825	53974
77	9981	54004
78	10127	53971
79	10322	54191
80	10462	54118
81	10590	53984
82	10724	53883
83	10868	53826
84	10998	53696
85	11147	53661
86	11269	53496
87	11387	53316
88	11510	53155
89	11641	53031
90	11772	52909
91	11902	52785
92	12026	52634
93	12145	52458
94	12223	52109
95	12343	51947
96	12477	51838
97	12619	51766
98	12761	51689
99	12881	51525
100	13000	51357
101	13119	51193
102	13235	51014
103	13356	50858
104	13473	50684
105	13605	50572
106	13724	50410
107	13858	50299
108	13918	49927
109	13995	49620
110	14119	49480
111	14252	49376
112	14391	49286
113	14513	49140
114	14649	49042
115	14774	48907
116	14891	48746
117	15011	48597
118	15132	48449
119	15255	48309
120	15372	48150
121	15494	48008
122	15616	47865
123	15662	47493
124	15785	47356
125	16051	47644
126	16174	47505
127	16321	47435
128	16479	47394
129	16622	47311
130	16773	47248
131	16901	47119
132	17029	46992
133	17179	46922
134	17323	46836
135	17454	46716
136	17601	46636
137	17728	46504
138	17827	46300
139	17953	46164
140	18080	46035
141	18206	45900
142	18332	45767
143	18454	45624
144	18581	45492
145	18714	45377
146	18841	45245
147	18967	45111
148	19091	44974
149	19216	44837
150	19337	44693
151	19502	44650
152	19746	44783
153	19980	44890
154	20281	45142
155	20539	45293
156	20756	45346
157	20959	45368
158	21174	45412
159	21397	45470
160	21610	45502
161	21882	45655
162	22086	45662
163	22285	45657
164	22487	45656
165	22709	45692
166	22892	45647
167	23271	45987
168	23477	45982
169	23680	45968
170	23876	45938
171	24118	45993
172	24314	45959
173	24508	45918
174	24716	45902
175	24923	45882
176	25107	45816
177	25377	45907
178	25568	45852
179	25766	45807
180	25959	45752
181	26155	45699
182	26379	45695
183	26574	45639
184	26762	45569
185	26967	45525
186	27195	45520
187	27382	45443
188	27575	45376
189	27779	45325
190	27977	45262
191	28160	45174
192	28353	45101
193	28541	45019
194	28729	44935
195	28927	44866
196	29155	44843
197	29438	44901
198	29631	44820
199	29835	44753
200	30128	44818
201	30438	44904
202	30681	44889
203	30882	44810
204	31112	44771
205	31376	44779
206	31563	44677
207	31780	44614
208	32022	44585
209	32243	44527
210	32456	44453
211	32703	44427
212	32925	44364
213	33143	44294
214	33433	44318
215	33702	44312
216	33924	44241
217	34195	44234
218	34403	44143
219	34635	44082
220	34858	44006
221	35076	43925
222	35388	43958
223	35589	43851
224	35752	43697
225	35910	43538
226	36056	43363
227	36211	43199
228	36354	43021
229	36512	42862
230	36654	42683
231	36795	42505
232	36931	42320
233	37098	42171
234	37233	41986
235	37372	41806
236	37521	41637
237	37766	41574
238	37950	41444
239	38115	41291
240	38311	41173
241	38456	40998
242	38616	40841
243	38778	40685
244	38916	40505
245	39072	40343
246	39238	40191
247	39392	40027
248	39551	39869
249	39685	39685
250	39831	39513
251	39976	39341
252	40105	39154
253	40251	38983
254	40398	38813
255	40530	38630
256	40661	38446
257	40815	38283
258	40969	38121
259	41113	37950
260	41261	37783
261	41407	37614
262	41572	37462
263	41726	37301
264	41890	37148
265	42043	36986
266	42197	36824
267	42360	36670
268	42529	36522
269	42676	36354
270	42831	36193
271	42979	36027
272	43133	35865
273	43286	35703
274	43435	35538
275	43600	35385
276	43732	35207
277	43861	35025
278	44021	34870
279	44153	34692
280	44282	34511
281	44415	34335
282	44536	34149
283	44663	33969
284	44783	33784
285	44906	33601
286	45027	33417
287	45149	33235
288	45268	33050
289	45390	32868
290	45512	32687
291	45633	32506
292	45755	32325
293	45877	32145
294	46003	31968
295	46130	31792
296	46258	31617
297	46382	31440
298	46549	31292
299	46685	31123
